"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command"
"1","can5ad.1","0.125","75","31","200","0","0.01","0.50236",,"10",,"[2026/03/25 15:41:15]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.1 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.1 -json output.json"
"2","can5ad.2","0.125","75","63","200","0","0.01","0.4964",,"10",,"[2026/03/25 16:09:54]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.2 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.2 -json output.json"
"3","can5ad.3","0.125","75","127","200","0","0.01","0.49904",,"11",,"[2026/03/25 16:40:39]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.3 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.3 -json output.json"
"4","can5ad.4","0.125","150","31","200","0","0.01","0.49968",,"10",,"[2026/03/25 17:13:44]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.4 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.4 -json output.json"
"5","can5ad.5","0.125","150","63","200","0","0.01","0.49988",,"11",,"[2026/03/25 17:48:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.5 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.5 -json output.json"
"6","can5ad.6","0.125","150","127","200","0","0.01","0.5002",,"12",,"[2026/03/25 18:26:44]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.6 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.6 -json output.json"
"7","can5ad.7","0.125","225","31","200","0","0.01","0.49992",,"10",,"[2026/03/25 19:03:36]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.7 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.7 -json output.json"
"8","can5ad.8","0.125","225","63","200","0","0.01","0.49836",,"12",,"[2026/03/25 19:43:51]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.8 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.8 -json output.json"
"9","can5ad.9","0.125","225","127","200","0","0.01","0.496",,"12",,"[2026/03/25 20:26:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.9 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.9 -json output.json"
"10","can5ad.10","0.25","75","31","200","0","0.01","0.5048",,"10",,"[2026/03/25 20:52:36]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.10 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.10 -json output.json"
"11","can5ad.11","0.25","75","63","200","0","0.01","0.50356",,"12",,"[2026/03/25 21:20:16]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.11 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.11 -json output.json"
"12","can5ad.12","0.25","75","127","200","0","0.01","0.50256",,"12",,"[2026/03/25 21:49:39]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.12 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.12 -json output.json"
"13","can5ad.13","0.25","150","31","200","0","0.01","0.49728",,"10",,"[2026/03/25 22:20:17]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.13 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.13 -json output.json"
